fname,itp,tp_prob,its,ts_prob
CM_URMC_00_HHE_100_2020010105595999.mseed_0,[],[],[],[]
CM_URMC_00_HHE_100_2020010105595999.mseed_3000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010106000000.mseed_0,[1791],[ 0.85074574],[],[]
CM_URMC_00_HHE_100_2020010105595999.mseed_6000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010106000000.mseed_3000,[],[],[],[]
CM_URMC_00_HHE_100_2020010105595999.mseed_9000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010106000000.mseed_6000,[],[],[2404],[ 0.31002367]
CM_URMC_00_HHE_100_2020010105595999.mseed_12000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010106000000.mseed_9000,[314],[ 0.80832404],[ 368 2556],[ 0.8413393   0.49425784]
CM_URMC_00_HHE_100_2020010105595999.mseed_15000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010106000000.mseed_12000,[1331 2736],[ 0.7785132  0.5451668],[1656],[ 0.7936965]
CM_URMC_00_HHE_100_2020010105595999.mseed_18000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010106000000.mseed_15000,[1767],[ 0.35130486],[1848],[ 0.8307538]
CM_URMC_00_HHE_100_2020010105595999.mseed_21000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010106000000.mseed_18000,[],[],[],[]
CM_URMC_00_HHE_100_2020010105595999.mseed_24000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010106000000.mseed_21000,[],[],[1667],[ 0.4793517]
CM_URMC_00_HHE_100_2020010105595999.mseed_27000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010106000000.mseed_24000,[],[],[],[]
CM_URMC_00_HHE_100_2020010105595999.mseed_30000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010106000000.mseed_27000,[2269],[ 0.42390138],[2324],[ 0.7530184]
CM_TAPM_00_HHE_100_2020010106000000.mseed_30000,[2852],[ 0.45761877],[2857],[ 0.37509882]
