fname,E,N,Z
CM_URMC_00_HHE_100_2020010101595999.mseed,HHE,HHN,HHZ
CM_VIL_20_EHE_100_2020010101595999.mseed,EHE,EHN,EHZ
CM_TAPM_00_HHE_100_2020010102000000.mseed,HHE,HHN,HHZ
CM_PRA_00_HHE_100_2020010101595999.mseed,HHE,HHN,HHZ
CM_PIRM_00_HHE_100_2020010102000000.mseed,HHE,HHN,HHZ
CM_MACC_00_HHE_100_2020010101595999.mseed,HHE,HHN,HHZ
