fname,itp,tp_prob,its,ts_prob
CM_TAPM_00_HHE_100_2020010110000000.mseed_111000,[2744],[ 0.40641257],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_96000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_99000,[1372],[ 0.34262782],[1585 2589],[ 0.88524425  0.8381462 ]
CM_TAPM_00_HHE_100_2020010110000000.mseed_114000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_102000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_105000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_117000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_108000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_120000,[2000 2894],[ 0.92640334  0.8845456 ],[2252],[ 0.5115224]
CM_URMC_00_HHE_100_2020010109595999.mseed_111000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_114000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_123000,[1844],[ 0.31523106],[2045],[ 0.53316635]
CM_URMC_00_HHE_100_2020010109595999.mseed_117000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_126000,[2704],[ 0.41670257],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_120000,[676],[ 0.9824608],[1064],[ 0.6483407]
CM_URMC_00_HHE_100_2020010109595999.mseed_123000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_126000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_129000,[2919],[ 0.34829405],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_129000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_132000,[2308],[ 0.30072987],[2589],[ 0.5360246]
CM_TAPM_00_HHE_100_2020010110000000.mseed_135000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_132000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_138000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_135000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_141000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_138000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_144000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_141000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_147000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_144000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_150000,[1159 2956],[ 0.8486342  0.8563812],[ 316 1522],[ 0.50925195  0.8260791 ]
