fname,itp,tp_prob,its,ts_prob
CM_URMC_00_HHE_100_2020010111595999.mseed_0,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_0,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_3000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_3000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_6000,[1912],[ 0.73850536],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_6000,[879],[ 0.96712273],[1246],[ 0.8123206]
CM_TAPM_00_HHE_100_2020010112000000.mseed_9000,[ 151 1887],[ 0.72231317  0.91108537],[ 993 2366],[ 0.5260865  0.8298121]
CM_URMC_00_HHE_100_2020010111595999.mseed_9000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_12000,[2261],[ 0.6980545],[1424],[ 0.32942337]
CM_URMC_00_HHE_100_2020010111595999.mseed_12000,[],[],[306],[ 0.8821374]
CM_TAPM_00_HHE_100_2020010112000000.mseed_15000,[1280],[ 0.70960265],[1484],[ 0.7520323]
CM_URMC_00_HHE_100_2020010111595999.mseed_15000,[252],[ 0.9534974],[637],[ 0.3917513]
CM_TAPM_00_HHE_100_2020010112000000.mseed_18000,[1480],[ 0.7936927],[1735],[ 0.47476283]
CM_URMC_00_HHE_100_2020010111595999.mseed_18000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_21000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_21000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_24000,[],[],[49],[ 0.41297325]
CM_URMC_00_HHE_100_2020010111595999.mseed_24000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_27000,[1744],[ 0.38730013],[2530],[ 0.7383477]
CM_URMC_00_HHE_100_2020010111595999.mseed_27000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_30000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_30000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_33000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_33000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_36000,[],[],[351],[ 0.59799343]
CM_URMC_00_HHE_100_2020010111595999.mseed_36000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_39000,[213],[ 0.38898662],[2971],[ 0.7019471]
CM_URMC_00_HHE_100_2020010111595999.mseed_39000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_42000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_42000,[],[],[1384],[ 0.49730545]
CM_TAPM_00_HHE_100_2020010112000000.mseed_45000,[],[],[2663],[ 0.30907208]
CM_URMC_00_HHE_100_2020010111595999.mseed_45000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_48000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_48000,[2378],[ 0.3157239],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_51000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_51000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_54000,[884],[ 0.66265184],[1137],[ 0.6584319]
CM_URMC_00_HHE_100_2020010111595999.mseed_54000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_57000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_57000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_60000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_60000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_63000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_63000,[252],[ 0.7335373],[677],[ 0.51330006]
CM_TAPM_00_HHE_100_2020010112000000.mseed_66000,[],[],[1377],[ 0.5937215]
CM_URMC_00_HHE_100_2020010111595999.mseed_66000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_69000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_69000,[],[],[2719],[ 0.75565845]
CM_TAPM_00_HHE_100_2020010112000000.mseed_72000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_72000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_75000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_75000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_78000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_78000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_81000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_81000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_84000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_84000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_87000,[1977],[ 0.33554393],[2249],[ 0.69470936]
CM_TAPM_00_HHE_100_2020010112000000.mseed_87000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_90000,[2537],[ 0.9850269],[2977],[ 0.83297217]
CM_TAPM_00_HHE_100_2020010112000000.mseed_90000,[],[],[1295],[ 0.64319766]
CM_URMC_00_HHE_100_2020010111595999.mseed_93000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_93000,[1699],[ 0.87518775],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_96000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_96000,[],[],[682],[ 0.76951176]
CM_URMC_00_HHE_100_2020010111595999.mseed_99000,[72],[ 0.96631795],[463],[ 0.45348674]
CM_TAPM_00_HHE_100_2020010112000000.mseed_99000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_102000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_102000,[1296],[ 0.5974613],[1553],[ 0.7838435]
CM_URMC_00_HHE_100_2020010111595999.mseed_105000,[2889],[ 0.45328426],[2893],[ 0.35966468]
CM_TAPM_00_HHE_100_2020010112000000.mseed_105000,[   4 1261],[ 0.4851081  0.5715567],[283],[ 0.45079908]
CM_URMC_00_HHE_100_2020010111595999.mseed_108000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_111000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_108000,[ 759 2928],[ 0.92898375  0.62970805],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_111000,[2904],[ 0.9328267],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_114000,[2944],[ 0.72560996],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_114000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_117000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_117000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_120000,[1485 2153],[ 0.7219429  0.9070155],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_120000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_123000,[1740 2947],[ 0.5930749  0.9766078],[1940],[ 0.70454395]
CM_URMC_00_HHE_100_2020010111595999.mseed_123000,[1401],[ 0.9364071],[1801],[ 0.89444226]
CM_TAPM_00_HHE_100_2020010112000000.mseed_126000,[2679],[ 0.7125992],[2885],[ 0.50780064]
CM_URMC_00_HHE_100_2020010111595999.mseed_126000,[2198],[ 0.9104218],[2634],[ 0.7456998]
CM_URMC_00_HHE_100_2020010111595999.mseed_129000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_129000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_132000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_132000,[2469],[ 0.34655508],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_135000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_135000,[2914],[ 0.8597717],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_138000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_138000,[2528],[ 0.42859286],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_141000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_141000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_144000,[307],[ 0.701139],[593],[ 0.46266794]
CM_TAPM_00_HHE_100_2020010112000000.mseed_144000,[2488],[ 0.67030746],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_147000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_147000,[1541 2900],[ 0.66120774  0.63817805],[1783],[ 0.4091838]
CM_TAPM_00_HHE_100_2020010112000000.mseed_150000,[1813],[ 0.34392092],[2215],[ 0.48722124]
CM_URMC_00_HHE_100_2020010111595999.mseed_150000,[],[],[353],[ 0.74282026]
CM_TAPM_00_HHE_100_2020010112000000.mseed_153000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_153000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_156000,[2409],[ 0.4114574],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_156000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010112000000.mseed_159000,[],[],[],[]
CM_URMC_00_HHE_100_2020010111595999.mseed_159000,[],[],[],[]
