fname,itp,tp_prob,its,ts_prob
CM_BELO_00_HHE_100_2019122918000000.mseed_0,[],[],[],[]
CM_CVER_00_HHE_100_2019122918000000.mseed_0,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_0,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_0,[517],[ 0.35041],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_0,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_3000,[],[],[],[]
CM_CVER_00_HHE_100_2019122918000000.mseed_3000,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_3000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_3000,[],[],[],[]
CM_VIL_20_EHE_100_2019122917595999.mseed_0,[],[],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_3000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_0,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_6000,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_6000,[],[],[],[]
CM_CVER_00_HHE_100_2019122918000000.mseed_6000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_9000,[],[],[],[]
CM_PRA_00_HHE_100_2019122917595999.mseed_0,[2413],[ 0.74053985],[2772],[ 0.70140326]
CM_TAPM_00_HHE_100_2019122918000000.mseed_3000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_6000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_12000,[],[],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_6000,[],[],[],[]
CM_CVER_00_HHE_100_2019122918000000.mseed_9000,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_9000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_9000,[],[],[],[]
CM_VIL_20_EHE_100_2019122917595999.mseed_3000,[],[],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_9000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_12000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_6000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_15000,[],[],[],[]
CM_CVER_00_HHE_100_2019122918000000.mseed_12000,[216],[ 0.81525797],[669],[ 0.5437117]
CM_TAPM_00_HHE_100_2019122918000000.mseed_9000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_15000,[],[],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_12000,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_12000,[],[],[],[]
CM_PRA_00_HHE_100_2019122917595999.mseed_3000,[2686],[ 0.6983811],[],[]
CM_CVER_00_HHE_100_2019122918000000.mseed_15000,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_15000,[],[],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_15000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_12000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_18000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_18000,[],[],[],[]
CM_CVER_00_HHE_100_2019122918000000.mseed_18000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_15000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_21000,[],[],[],[]
CM_CVER_00_HHE_100_2019122918000000.mseed_21000,[263],[ 0.3056251],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_18000,[],[],[],[]
CM_PRA_00_HHE_100_2019122917595999.mseed_6000,[],[],[2235],[ 0.41827235]
CM_BELO_00_HHE_100_2019122918000000.mseed_18000,[],[],[],[]
CM_VIL_20_EHE_100_2019122917595999.mseed_6000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_24000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_21000,[2908],[ 0.63524634],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_21000,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_21000,[],[],[],[]
CM_PRA_00_HHE_100_2019122917595999.mseed_9000,[],[],[2615],[ 0.32905537]
CM_TAPM_00_HHE_100_2019122918000000.mseed_18000,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_24000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_21000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_24000,[],[],[289],[ 0.5171757]
CM_CVER_00_HHE_100_2019122918000000.mseed_24000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_24000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_27000,[],[],[545],[ 0.45429674]
CM_BELO_00_HHE_100_2019122918000000.mseed_24000,[2691],[ 0.67117035],[],[]
CM_PRA_00_HHE_100_2019122917595999.mseed_12000,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_27000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_27000,[],[],[793],[ 0.4604764]
CM_VIL_20_EHE_100_2019122917595999.mseed_9000,[],[],[],[]
CM_PRA_00_HHE_100_2019122917595999.mseed_15000,[1491],[ 0.81487197],[1536],[ 0.64006174]
CM_BELO_00_HHE_100_2019122918000000.mseed_27000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_30000,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_30000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_27000,[],[],[1440],[ 0.58043915]
CM_VIL_20_EHE_100_2019122917595999.mseed_12000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_30000,[],[],[],[]
CM_VIL_20_EHE_100_2019122917595999.mseed_15000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_30000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_33000,[],[],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_30000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_33000,[],[],[2737],[ 0.42022476]
CM_PRA_00_HHE_100_2019122917595999.mseed_18000,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_33000,[],[],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_33000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_36000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_33000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_36000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_36000,[],[],[],[]
CM_PRA_00_HHE_100_2019122917595999.mseed_21000,[668],[ 0.3533715],[673],[ 0.51253307]
CM_CHI_00_HHE_100_2019122917595999.mseed_36000,[],[],[],[]
CM_VIL_20_EHE_100_2019122917595999.mseed_18000,[],[],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_36000,[],[],[],[]
CM_PRA_00_HHE_100_2019122917595999.mseed_24000,[ 146  711 1252],[ 0.38670748  0.66996664  0.41335756],[ 807 1266],[ 0.7545777   0.34158546]
CM_URMC_00_HHE_100_2019122917595999.mseed_39000,[1100],[ 0.98226464],[1493],[ 0.63899964]
CM_PRA_00_HHE_100_2019122917595999.mseed_27000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_39000,[2620],[ 0.9752279],[],[]
CM_CVER_00_HHE_100_2019122918000000.mseed_27000,[],[],[132],[ 0.64767253]
CM_ORTC_00_HHE_100_2019122917595999.mseed_42000,[1245 2774],[ 0.36241943  0.9440957 ],[1598 2891],[ 0.6466259   0.59652364]
CM_CHI_00_HHE_100_2019122917595999.mseed_39000,[],[],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_39000,[],[],[],[]
CM_VIL_20_EHE_100_2019122917595999.mseed_21000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_42000,[2853],[ 0.5339469],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_39000,[],[],[],[]
CM_PRA_00_HHE_100_2019122917595999.mseed_30000,[2642],[ 0.69670236],[],[]
CM_VIL_20_EHE_100_2019122917595999.mseed_24000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_45000,[2714],[ 0.53342634],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_42000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_45000,[],[],[194],[ 0.75607]
CM_BELO_00_HHE_100_2019122918000000.mseed_42000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_42000,[ 247 2247],[ 0.93743634  0.55313426],[2405],[ 0.7736006]
CM_CVER_00_HHE_100_2019122918000000.mseed_30000,[],[],[1161],[ 0.36999255]
CM_CHI_00_HHE_100_2019122917595999.mseed_45000,[],[],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_45000,[],[],[],[]
CM_VIL_20_EHE_100_2019122917595999.mseed_27000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_48000,[2959],[ 0.57489234],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_48000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_45000,[],[],[47],[ 0.3651473]
CM_PRA_00_HHE_100_2019122917595999.mseed_33000,[],[],[2007],[ 0.4368766]
CM_CVER_00_HHE_100_2019122918000000.mseed_33000,[2665],[ 0.60696065],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_48000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_48000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_51000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_51000,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_51000,[],[],[],[]
CM_VIL_20_EHE_100_2019122917595999.mseed_30000,[],[],[],[]
CM_BELO_00_HHE_100_2019122918000000.mseed_51000,[2485],[ 0.52203274],[],[]
CM_PRA_00_HHE_100_2019122917595999.mseed_36000,[],[],[],[]
CM_TAPM_00_HHE_100_2019122918000000.mseed_48000,[],[],[],[]
CM_ORTC_00_HHE_100_2019122917595999.mseed_54000,[],[],[],[]
CM_URMC_00_HHE_100_2019122917595999.mseed_54000,[],[],[],[]
CM_CVER_00_HHE_100_2019122918000000.mseed_36000,[],[],[],[]
CM_CHI_00_HHE_100_2019122917595999.mseed_54000,[],[],[],[]
