fname,itp,tp_prob,its,ts_prob
CM_URMC_00_HHE_100_2020010103595999.mseed_0,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_3000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_0,[1312],[ 0.3895945],[1554],[ 0.804727]
CM_TAPM_00_HHE_100_2020010104000000.mseed_3000,[2101 2701],[ 0.4463832   0.44895607],[2324],[ 0.44377902]
CM_URMC_00_HHE_100_2020010103595999.mseed_6000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_9000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_6000,[1841 2531],[ 0.49140337  0.7573562 ],[1957],[ 0.6860055]
CM_URMC_00_HHE_100_2020010103595999.mseed_12000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_9000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_15000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_12000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_18000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_15000,[2581],[ 0.37481236],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_21000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_18000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_24000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_21000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_27000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_24000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_30000,[255],[ 0.9667181],[639],[ 0.5555405]
CM_TAPM_00_HHE_100_2020010104000000.mseed_27000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_33000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_30000,[2295],[ 0.94673616],[2497],[ 0.7277746]
CM_URMC_00_HHE_100_2020010103595999.mseed_36000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_33000,[1423],[ 0.53440905],[1652],[ 0.49289492]
CM_URMC_00_HHE_100_2020010103595999.mseed_39000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_36000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_42000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_39000,[],[],[2347],[ 0.3022771]
CM_URMC_00_HHE_100_2020010103595999.mseed_45000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_42000,[204 712],[ 0.4910288   0.76383907],[976],[ 0.40197477]
CM_URMC_00_HHE_100_2020010103595999.mseed_48000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_51000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_45000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_54000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_48000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_51000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_57000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_54000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_60000,[2687],[ 0.9504672],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_63000,[],[],[44],[ 0.7489451]
CM_TAPM_00_HHE_100_2020010104000000.mseed_57000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_60000,[2847],[ 0.4270459],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_66000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_63000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_69000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_66000,[1067],[ 0.3383435],[1188],[ 0.42636228]
CM_URMC_00_HHE_100_2020010103595999.mseed_72000,[1236],[ 0.94750804],[1593],[ 0.83818877]
CM_TAPM_00_HHE_100_2020010104000000.mseed_69000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_75000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_78000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_72000,[],[],[1896],[ 0.3449348]
CM_URMC_00_HHE_100_2020010103595999.mseed_81000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_75000,[2640],[ 0.853325],[2739],[ 0.43602312]
CM_URMC_00_HHE_100_2020010103595999.mseed_84000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_78000,[],[],[282],[ 0.45301768]
CM_URMC_00_HHE_100_2020010103595999.mseed_87000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_81000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_90000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_84000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_93000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_87000,[1352],[ 0.52750057],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_96000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_90000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_99000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_93000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_102000,[624],[ 0.9564632],[1017],[ 0.8488364]
CM_TAPM_00_HHE_100_2020010104000000.mseed_96000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_105000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_99000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_102000,[2913],[ 0.7904975],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_105000,[1930],[ 0.90402794],[2139],[ 0.5683027]
CM_URMC_00_HHE_100_2020010103595999.mseed_108000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_108000,[2933],[ 0.33540216],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_111000,[2247],[ 0.8279148],[2665],[ 0.5142361]
CM_TAPM_00_HHE_100_2020010104000000.mseed_111000,[2346],[ 0.7330098],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_114000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_114000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_117000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_120000,[],[],[990],[ 0.6061134]
CM_URMC_00_HHE_100_2020010103595999.mseed_123000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_117000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_126000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_120000,[],[],[1044],[ 0.31905815]
CM_URMC_00_HHE_100_2020010103595999.mseed_129000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_123000,[1735],[ 0.88423187],[  50 2137 2215],[ 0.6885087   0.30755872  0.30510682]
CM_URMC_00_HHE_100_2020010103595999.mseed_132000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_126000,[2826],[ 0.81962126],[ 412 1753],[ 0.72057194  0.31072506]
CM_URMC_00_HHE_100_2020010103595999.mseed_135000,[285],[ 0.6707528],[593],[ 0.6996291]
CM_TAPM_00_HHE_100_2020010104000000.mseed_129000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_138000,[1963 2740],[ 0.49201232  0.3069132 ],[2287],[ 0.8459338]
CM_TAPM_00_HHE_100_2020010104000000.mseed_132000,[691],[ 0.80702376],[928],[ 0.85619813]
CM_URMC_00_HHE_100_2020010103595999.mseed_141000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_135000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_144000,[2832],[ 0.973436],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_138000,[ 804 2654],[ 0.7434724  0.7331473],[  49 2661],[ 0.9381411   0.32726726]
CM_TAPM_00_HHE_100_2020010104000000.mseed_141000,[],[],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_147000,[],[],[188],[ 0.5093788]
CM_TAPM_00_HHE_100_2020010104000000.mseed_144000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_147000,[2129],[ 0.47926384],[],[]
CM_URMC_00_HHE_100_2020010103595999.mseed_150000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_150000,[  25 1079],[ 0.56559676  0.68225324],[  82 1293],[ 0.90025747  0.3986673 ]
CM_TAPM_00_HHE_100_2020010104000000.mseed_153000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_156000,[],[],[109],[ 0.43943515]
CM_URMC_00_HHE_100_2020010103595999.mseed_153000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010104000000.mseed_159000,[2487],[ 0.47714463],[2029],[ 0.32525057]
CM_URMC_00_HHE_100_2020010103595999.mseed_156000,[],[],[],[]
