fname,itp,tp_prob,its,ts_prob
CM_URMC_00_HHE_100_2020010115595999.mseed_0,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_0,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_3000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_3000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_6000,[ 747 2425],[ 0.33974814  0.37384832],[2873],[ 0.31244907]
CM_URMC_00_HHE_100_2020010115595999.mseed_6000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_9000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_9000,[2701],[ 0.60951954],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_12000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_12000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_15000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_15000,[2944],[ 0.32424816],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_18000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_18000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_21000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_21000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_24000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_24000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_27000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_27000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_30000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_30000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_33000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_33000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_36000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_36000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_39000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_39000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_42000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_42000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_45000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_45000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_48000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_48000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_51000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_51000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_54000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_54000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_57000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_57000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_60000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_60000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_63000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_63000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_66000,[2959],[ 0.58419466],[],[]
CM_TAPM_00_HHE_100_2020010116000000.mseed_66000,[],[],[],[]
CM_URMC_00_HHE_100_2020010115595999.mseed_69000,[1220],[ 0.37502408],[1618],[ 0.56792015]
