fname,itp,tp_prob,its,ts_prob
CM_VIL_20_EHE_100_2019123123595999.mseed_0,[],[],[],[]
CM_VIL_20_EHE_100_2019123123595999.mseed_3000,[],[],[],[]
CM_VIL_20_EHE_100_2019123123595999.mseed_6000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_0,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_3000,[],[],[],[]
CM_VIL_20_EHE_100_2019123123595999.mseed_9000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_6000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_9000,[2724],[ 0.3704101],[],[]
CM_PRA_00_HHE_100_2019123123595999.mseed_0,[2453],[ 0.30631644],[],[]
CM_TAPM_00_HHE_100_2020010100000000.mseed_0,[2896],[ 0.39238784],[1876],[ 0.47516787]
CM_VIL_20_EHE_100_2019123123595999.mseed_12000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_12000,[],[],[],[]
CM_PRA_00_HHE_100_2019123123595999.mseed_3000,[],[],[],[]
CM_VIL_20_EHE_100_2019123123595999.mseed_15000,[],[],[],[]
CM_MACC_00_HHE_100_2019123123595999.mseed_0,[],[],[],[]
CM_PIRM_00_HHE_100_2020010100000000.mseed_0,[],[],[],[]
CM_TAPM_00_HHE_100_2020010100000000.mseed_3000,[2321 2885],[ 0.6939131   0.37384593],[2937],[ 0.69460076]
CM_VIL_20_EHE_100_2019123123595999.mseed_18000,[885],[ 0.5863223],[],[]
CM_TAPM_00_HHE_100_2020010100000000.mseed_6000,[],[],[],[]
CM_VIL_20_EHE_100_2019123123595999.mseed_21000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010100000000.mseed_9000,[1148 1709],[ 0.7823473   0.38831073],[1223 1797 2987],[ 0.4383487  0.5487868  0.6736973]
CM_PRA_00_HHE_100_2019123123595999.mseed_6000,[],[],[],[]
CM_PIRM_00_HHE_100_2020010100000000.mseed_3000,[],[],[],[]
CM_VIL_20_EHE_100_2019123123595999.mseed_24000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_15000,[1895],[ 0.9360613],[2684],[ 0.78893036]
CM_MACC_00_HHE_100_2019123123595999.mseed_3000,[1904],[ 0.3849064],[],[]
CM_PRA_00_HHE_100_2019123123595999.mseed_9000,[],[],[],[]
CM_VIL_20_EHE_100_2019123123595999.mseed_27000,[],[],[],[]
CM_PRA_00_HHE_100_2019123123595999.mseed_12000,[],[],[],[]
CM_PIRM_00_HHE_100_2020010100000000.mseed_6000,[843],[ 0.98662937],[905],[ 0.95718384]
CM_VIL_20_EHE_100_2019123123595999.mseed_30000,[],[],[],[]
CM_PIRM_00_HHE_100_2020010100000000.mseed_9000,[],[],[],[]
CM_MACC_00_HHE_100_2019123123595999.mseed_6000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_18000,[],[],[],[]
CM_VIL_20_EHE_100_2019123123595999.mseed_33000,[],[],[],[]
CM_PIRM_00_HHE_100_2020010100000000.mseed_12000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010100000000.mseed_12000,[2448],[ 0.43627885],[],[]
CM_MACC_00_HHE_100_2019123123595999.mseed_9000,[],[],[],[]
CM_VIL_20_EHE_100_2019123123595999.mseed_36000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010100000000.mseed_15000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_21000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010100000000.mseed_18000,[606],[ 0.8397268],[2753],[ 0.53309697]
CM_VIL_20_EHE_100_2019123123595999.mseed_39000,[],[],[],[]
CM_PRA_00_HHE_100_2019123123595999.mseed_15000,[2258],[ 0.95091933],[],[]
CM_MACC_00_HHE_100_2019123123595999.mseed_12000,[],[],[],[]
CM_VIL_20_EHE_100_2019123123595999.mseed_42000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_24000,[],[],[],[]
CM_PRA_00_HHE_100_2019123123595999.mseed_18000,[],[],[338],[ 0.79729724]
CM_VIL_20_EHE_100_2019123123595999.mseed_45000,[],[],[],[]
CM_MACC_00_HHE_100_2019123123595999.mseed_15000,[],[],[],[]
CM_VIL_20_EHE_100_2019123123595999.mseed_48000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010100000000.mseed_21000,[],[],[54],[ 0.506581]
CM_TAPM_00_HHE_100_2020010100000000.mseed_24000,[],[],[],[]
CM_MACC_00_HHE_100_2019123123595999.mseed_18000,[  75 1708],[ 0.92004806  0.6218959 ],[1705],[ 0.30411506]
CM_VIL_20_EHE_100_2019123123595999.mseed_51000,[],[],[],[]
CM_PIRM_00_HHE_100_2020010100000000.mseed_15000,[],[],[],[]
CM_MACC_00_HHE_100_2019123123595999.mseed_21000,[],[],[45],[ 0.36051258]
CM_VIL_20_EHE_100_2019123123595999.mseed_54000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_27000,[],[],[],[]
CM_PRA_00_HHE_100_2019123123595999.mseed_21000,[],[],[],[]
CM_VIL_20_EHE_100_2019123123595999.mseed_57000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010100000000.mseed_27000,[],[],[],[]
CM_PIRM_00_HHE_100_2020010100000000.mseed_18000,[1347],[ 0.8056592],[],[]
CM_PRA_00_HHE_100_2019123123595999.mseed_24000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_30000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010100000000.mseed_30000,[],[],[],[]
