fname,itp,tp_prob,its,ts_prob
CM_URMC_00_HHE_100_2020010107595999.mseed_0,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_0,[],[],[2991],[ 0.3386192]
CM_TAPM_00_HHE_100_2020010108000000.mseed_3000,[908],[ 0.7624184],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_3000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_6000,[],[],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_6000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_9000,[ 224 2604],[ 0.684603  0.780528],[ 235 2233 2821],[ 0.47023475  0.63920516  0.7586417 ]
CM_URMC_00_HHE_100_2020010107595999.mseed_9000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_12000,[2060],[ 0.34370625],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_12000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_15000,[2601],[ 0.59710526],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_15000,[403],[ 0.9718784],[794],[ 0.88222134]
CM_TAPM_00_HHE_100_2020010108000000.mseed_18000,[ 908 1536],[ 0.47037947  0.50965357],[1750],[ 0.6215624]
CM_URMC_00_HHE_100_2020010107595999.mseed_18000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_21000,[],[],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_21000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_24000,[],[],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_24000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_27000,[],[],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_27000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_30000,[934],[ 0.5643006],[1287],[ 0.3493106]
CM_URMC_00_HHE_100_2020010107595999.mseed_30000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_33000,[976],[ 0.36409906],[973],[ 0.46799296]
CM_URMC_00_HHE_100_2020010107595999.mseed_33000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_36000,[],[],[2277],[ 0.34501556]
CM_URMC_00_HHE_100_2020010107595999.mseed_36000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_39000,[],[],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_39000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_42000,[],[],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_42000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_45000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_48000,[2897],[ 0.3372541],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_45000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_51000,[1047],[ 0.3635599],[ 100 1165 1923],[ 0.38446552  0.7670499   0.4873677 ]
CM_URMC_00_HHE_100_2020010107595999.mseed_48000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_54000,[],[],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_51000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_57000,[1995],[ 0.886115],[2237],[ 0.8021953]
CM_URMC_00_HHE_100_2020010107595999.mseed_54000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_60000,[],[],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_57000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_63000,[],[],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_60000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_66000,[1047 2179],[ 0.4494595  0.6102695],[ 289 1777],[ 0.49966156  0.5940588 ]
CM_URMC_00_HHE_100_2020010107595999.mseed_63000,[],[],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_66000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010108000000.mseed_69000,[2921],[ 0.45092955],[110],[ 0.75195026]
CM_TAPM_00_HHE_100_2020010108000000.mseed_72000,[],[],[],[]
CM_URMC_00_HHE_100_2020010107595999.mseed_69000,[],[],[],[]
