fname,itp,tp_prob,its,ts_prob
CM_TAPM_00_HHE_100_2020010114000000.mseed_0,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_0,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_3000,[2687],[ 0.365653],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_3000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_6000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_6000,[2837],[ 0.3658202],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_9000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_9000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_12000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_12000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_15000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_15000,[ 928 2777],[ 0.6471479   0.34396377],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_18000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_18000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_21000,[970],[ 0.78271383],[ 276 1318],[ 0.72706544  0.7122136 ]
CM_TAPM_00_HHE_100_2020010114000000.mseed_21000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_24000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_24000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_27000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_27000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_30000,[2799],[ 0.61611617],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_30000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_33000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_33000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_36000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_36000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_39000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_39000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_42000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_42000,[1347],[ 0.7036075],[1549],[ 0.46754032]
CM_URMC_00_HHE_100_2020010113595999.mseed_45000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_45000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_48000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_48000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_51000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_51000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_54000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_54000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_57000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_57000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_60000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_60000,[],[],[947],[ 0.4736513]
CM_URMC_00_HHE_100_2020010113595999.mseed_63000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_63000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_66000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_69000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_66000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_72000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_69000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_75000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_72000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_75000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_78000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_78000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_81000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_81000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_84000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_84000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_87000,[776],[ 0.95306265],[1147],[ 0.5070781]
CM_TAPM_00_HHE_100_2020010114000000.mseed_87000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_90000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_90000,[2121],[ 0.7005193],[ 977 2320],[ 0.32126105  0.67786247]
CM_URMC_00_HHE_100_2020010113595999.mseed_93000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_93000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_96000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_96000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_99000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010114000000.mseed_99000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_102000,[207],[ 0.88011414],[575],[ 0.75852656]
CM_TAPM_00_HHE_100_2020010114000000.mseed_102000,[],[],[],[]
CM_URMC_00_HHE_100_2020010113595999.mseed_105000,[],[],[329],[ 0.7163411]
CM_URMC_00_HHE_100_2020010113595999.mseed_108000,[],[],[],[]
