fname,E,N,Z
CM_MACC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_IBA1C_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_JAMC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_MAN1C_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_NOR_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_MARO_00_HHE_100_2020010100000000.mseed,HHE,HHN,HHZ
CM_NOR_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_MAP_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_NIZA_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_OCA_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_MEDEC_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_PAL_40_HLE_100_2019123123595999.mseed,HLE,HLN,HLZ
CM_ORTC_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_ORTC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_OCA_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_PAM_20_EHE_100_2019123123595999.mseed,EHE,EHN,EHZ
CM_PAL_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_PAL_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_PAM_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_PAS2_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_PAS1_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_PDSC_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_PERC1_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_PIRM_00_HHE_100_2020010100000000.mseed,HHE,HHN,HHZ
CM_PERC2_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_PERC3_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_PIZC_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_POP2_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_PRA_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_PRV_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_POP2_40_HLE_200_2019123123595999.mseed,HLE,HLN,HLZ
CM_PIZC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_PTA_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_PRV_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_POP2_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_PTA_40_HLE_200_2019123123595999.mseed,HLE,HLN,HLZ
CM_PTB_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_PTA_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_PTLC_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_PTB_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_PTLC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_QUBC_00_HHZ_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_PTLC_40_HLE_200_2019123123595999.mseed,HLE,HLN,HLZ
CM_RUS_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_RAC2C_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_QUBC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_SAIC_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_SAIC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_RECRC_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_SJC_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_SOTO_00_HHE_100_2020010100000000.mseed,HHE,HHN,HHZ
CM_SMAR_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_SPBC_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_SOL_20_EHE_100_2019123123595999.mseed,EHE,EHN,EHZ
CM_SMAR_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_SPBC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_SOL_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_SJC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_URE_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_URE_40_HLE_200_2019123123595999.mseed,HLE,HLN,HLZ
CM_TUM_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_TUM3C_11_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_TUM_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_URE_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_TAPM_00_HHE_100_2020010100000000.mseed,HHE,HHN,HHZ
CM_TUM3C_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_URI_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_URMC_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_VIL_40_HLE_200_2019123123595999.mseed,HLE,HLN,HLZ
CM_URI_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_VIL_20_EHE_100_2019123123595999.mseed,EHE,EHN,EHZ
CM_VALLC_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_YOT_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_URMC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_VIL_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_YPLC_00_HHE_100_2020010100000000.mseed,HHE,HHN,HHZ
CM_YOT_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_YPLC_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
