fname,E,N,Z
CM_APAC_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_APAC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_ARGC_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_ARGC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_ARGC_40_HLE_200_2019123123595999.mseed,HLE,HLN,HLZ
CM_BAR2_20_EHZ_100_2019123123595999.mseed,EHE,EHN,EHZ
CM_BAR2_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_BAR2_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_BBAC_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_BELO_00_HHE_100_2020010100000000.mseed,HHE,HHN,HHZ
CM_BET_20_EHE_100_2019123123595999.mseed,EHE,EHN,EHZ
CM_BET_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_CAP2_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_BOG_11_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_BOG_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_CHI_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_COBO_00_HHE_100_2020010100000000.mseed,HHE,HHN,HHZ
CM_BRJC_00_HHE_100_2020010100000000.mseed,HHE,HHN,HHZ
CM_CBOC_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_DBB_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_CAP2_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_CRU_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_CUFI_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_BRJC_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_CRU_20_EHE_100_2020010100000000.mseed,EHE,EHN,EHZ
CM_CUM_20_EHZ_100_2019123123595999.mseed,EHE,EHN,EHZ
CM_DBB_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_CUM_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_DRL01_30_HHE_200_2020010100000000.mseed,HHE,HHN,HHZ
CM_DBB_20_EHE_100_2019123123595999.mseed,EHE,EHN,EHZ
CM_DRL02_30_HHZ_200_2020010100000000.mseed,HHE,HHN,HHZ
CM_DRL03_30_HHE_200_2020010100000000.mseed,HHE,HHN,HHZ
CM_DRL04_10_HNE_200_2020010100000000.mseed,HNE,HNN,HNZ
CM_DRL04_30_HHE_200_2020010100000000.mseed,HHE,HHN,HHZ
CM_DRL05_20_EHZ_200_2020010100000000.mseed,EHE,EHN,EHZ
CM_FLO2_00_BHE_20_2020010100000001.mseed,BHE,BHN,BHZ
CM_GARC_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_GR1C_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_DRL06_20_EHE_200_2020010100000000.mseed,EHE,EHN,EHZ
CM_FLO2_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_GARC_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_GR1C_10_HNE_200_2019123123595999.mseed,HNE,HNN,HNZ
CM_JAMC_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
CM_GR1C_20_EHE_100_2019123123595999.mseed,EHE,EHN,EHZ
CM_MACC_00_HHE_100_2019123123595999.mseed,HHE,HHN,HHZ
